,country_id,country_name,continent_name,date,confirmed,deaths,recovered,active,case_fatality,new_cases,new_deaths,new_recovered,population,vaccinated_per_hundred,fully_vaccinated_per_hundred,boosted_per_hundred,not_fully_vaccinated_per_hundred,hospital_occupancy
38,AUS,Australia,Oceania,2020-02-29,25.0,0.0,11.0,14.0,0.0,10.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
39,AUS,Australia,Oceania,2020-03-01,27.0,1.0,11.0,15.0,3.7,2.0,1.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
40,AUS,Australia,Oceania,2020-03-02,30.0,1.0,11.0,18.0,3.33,3.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
41,AUS,Australia,Oceania,2020-03-03,39.0,1.0,11.0,27.0,2.56,9.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
42,AUS,Australia,Oceania,2020-03-04,52.0,2.0,11.0,39.0,3.85,13.0,1.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
43,AUS,Australia,Oceania,2020-03-05,55.0,2.0,21.0,32.0,3.64,3.0,0.0,10.0,25687041.0,0.0,0.0,0.0,0.0,0.0
44,AUS,Australia,Oceania,2020-03-06,60.0,2.0,21.0,37.0,3.33,5.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
45,AUS,Australia,Oceania,2020-03-07,63.0,2.0,21.0,40.0,3.17,3.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
46,AUS,Australia,Oceania,2020-03-08,76.0,3.0,21.0,52.0,3.95,13.0,1.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
47,AUS,Australia,Oceania,2020-03-09,91.0,3.0,21.0,67.0,3.3,15.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
48,AUS,Australia,Oceania,2020-03-10,107.0,3.0,21.0,83.0,2.8,16.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
49,AUS,Australia,Oceania,2020-03-11,128.0,3.0,21.0,104.0,2.34,21.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
50,AUS,Australia,Oceania,2020-03-12,128.0,3.0,21.0,104.0,2.34,0.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
51,AUS,Australia,Oceania,2020-03-13,200.0,3.0,23.0,174.0,1.5,72.0,0.0,2.0,25687041.0,0.0,0.0,0.0,0.0,0.0
52,AUS,Australia,Oceania,2020-03-14,250.0,3.0,23.0,224.0,1.2,50.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
53,AUS,Australia,Oceania,2020-03-15,297.0,3.0,23.0,271.0,1.01,47.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
54,AUS,Australia,Oceania,2020-03-16,377.0,3.0,23.0,351.0,0.8,80.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
55,AUS,Australia,Oceania,2020-03-17,452.0,5.0,23.0,424.0,1.11,75.0,2.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
56,AUS,Australia,Oceania,2020-03-18,568.0,6.0,23.0,539.0,1.06,116.0,1.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
